((S +) (+ 1)), nan, nan, -3.5341521108418155, -3.222678052665304, -3.582240568865818, -3.56465565049376, -3.4082087369831355, -3.56465565049376, -3.4082087369831355, -3.56465565049376, -3.4082087369831355, -3.56465565049376, -3.4082087369831355, -3.56465565049376, -3.4082087369831355, -3.56465565049376, -3.4082087369831355, -3.56465565049376, -3.4082087369831355, -3.56465565049376, -3.4082087369831355, -3.56465565049376, -3.4082087369831355, -3.56465565049376, -3.4082087369831355
((S +) ((S *) (+ 1))), nan, nan, nan, -4.832115965099405, -4.275387749425763, -4.257802831053706, -4.101355917543081, -4.257802831053706, -4.101355917543081, -4.257802831053706, -4.101355917543081, -4.257802831053706, -4.101355917543081, -4.257802831053706, -4.101355917543081, -4.257802831053706, -4.101355917543081, -4.257802831053706, -4.101355917543081, -4.257802831053706, -4.101355917543081, -4.257802831053706, -4.101355917543081, -4.257802831053706, -4.101355917543081
(* 1), nan, -2.9105757372072425, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
((S +) ((S +) (+ 1))), nan, nan, nan, -4.426650856991239, -3.869922641317599, -3.8523377229455407, -3.6958908094349163, -3.8523377229455407, -3.6958908094349163, -3.8523377229455407, -3.6958908094349163, -3.8523377229455407, -3.6958908094349163, -3.8523377229455407, -3.6958908094349163, -3.8523377229455407, -3.6958908094349163, -3.8523377229455407, -3.6958908094349163, -3.8523377229455407, -3.6958908094349163, -3.8523377229455407, -3.6958908094349163, -3.8523377229455407, -3.6958908094349163
(+ 1), nan, -2.217428556647297, -2.4355398221737055, -3.222678052665304, -3.359097017551608, -3.3415120991795497, -3.1850651856689254, -3.3415120991795497, -3.1850651856689254, -3.3415120991795497, -3.1850651856689254, -3.3415120991795497, -3.1850651856689254, -3.3415120991795497, -3.1850651856689254, -3.3415120991795497, -3.1850651856689254, -3.3415120991795497, -3.1850651856689254, -3.3415120991795497, -3.1850651856689254, -3.3415120991795497, -3.1850651856689254, -3.3415120991795497, -3.1850651856689254
((S +) I), nan, nan, -3.5341521108418155, -3.5793529966040367, -3.869922641317599, -3.8523377229455407, -3.6958908094349163, -3.8523377229455407, -3.6958908094349163, -3.8523377229455407, -3.6958908094349163, -3.8523377229455407, -3.6958908094349163, -3.8523377229455407, -3.6958908094349163, -3.8523377229455407, -3.6958908094349163, -3.8523377229455407, -3.6958908094349163, -3.8523377229455407, -3.6958908094349163, -3.8523377229455407, -3.6958908094349163, -3.8523377229455407, -3.6958908094349163
(S +), nan, -3.421401360973233, -2.41492053497097, -2.5505842813031916, -2.7713103526494893, -2.7959480646997776, -2.6395011511891533, -2.7959480646997776, -2.6395011511891533, -2.7959480646997776, -2.6395011511891533, -2.7959480646997776, -2.6395011511891533, -2.7959480646997776, -2.6395011511891533, -2.7959480646997776, -2.6395011511891533, -2.7959480646997776, -2.6395011511891533, -2.7959480646997776, -2.6395011511891533, -2.7959480646997776, -2.6395011511891533, -2.7959480646997776, -2.6395011511891533
(S *), nan, -3.421401360973233, -3.2622183953581736, -3.179192940725566, -3.4644575332094343, -3.4890952452597226, -3.3326483317490982, -3.4890952452597226, -3.3326483317490982, -3.4890952452597226, -3.3326483317490982, -3.4890952452597226, -3.3326483317490982, -3.4890952452597226, -3.3326483317490982, -3.4890952452597226, -3.3326483317490982, -3.4890952452597226, -3.3326483317490982, -3.4890952452597226, -3.3326483317490982, -3.4890952452597226, -3.3326483317490982, -3.4890952452597226, -3.3326483317490982
(B ((S +) (+ 1))), nan, nan, nan, -4.160022193737291, -3.4644575332094343, -3.4890952452597226, -3.3326483317490982, -3.4890952452597226, -3.3326483317490982, -3.4890952452597226, -3.3326483317490982, -3.4890952452597226, -3.3326483317490982, -3.4890952452597226, -3.3326483317490982, -3.4890952452597226, -3.3326483317490982, -3.4890952452597226, -3.3326483317490982, -3.4890952452597226, -3.3326483317490982, -3.4890952452597226, -3.3326483317490982, -3.4890952452597226, -3.3326483317490982
(B ((S *) (+ 1))), nan, nan, nan, -4.160022193737291, -3.8009297698306477, -3.825567481880936, -3.6691205683703116, -3.825567481880936, -3.6691205683703116, -3.825567481880936, -3.6691205683703116, -3.825567481880936, -3.6691205683703116, -3.825567481880936, -3.6691205683703116, -3.825567481880936, -3.6691205683703116, -3.825567481880936, -3.6691205683703116, -3.825567481880936, -3.6691205683703116, -3.825567481880936, -3.6691205683703116, -3.825567481880936, -3.6691205683703116
