((B ((B ((B ((((((B SSS) BCB) *) I) I) I)) (+ 2))) (+ 2))) (+ 2)), nan, nan, -5.526048687986894, -5.509915299701841, -5.517491222333844, -5.517175631963854, -5.517175631963854, -5.517175631963854, -5.517175631963854
(B (((BCB +) *) 0)), -4.399774823446451, -4.199823051941656, -4.1186374034260815, -4.014887738445485, -3.951855932558137, -3.922552805314895, -3.922552805314895, -3.922552805314895, -3.922552805314895
(BCB +), -3.8119191952969596, -4.385386085994352, -3.9485086236607496, -3.806262718383929, -3.8051672074634157, -3.6153836959369245, -3.6150681055669343, -3.6150681055669343, -3.6150681055669343, -3.6150681055669343
((((B SSS) BCB) +) I), -4.382464053764573, -4.3179448051988185, -4.353973731768915, -4.255212938431832, -5.081460673368977, nan, nan, nan, nan, nan
((((B SSS) BCB) *) I), -3.283851765096463, -3.5070145889824897, -3.3423728200904343, -3.379744201077932, -3.289701204140923, -3.1846007798444695, -3.2453210800608487, -3.2453210800608487, -3.2453210800608487, -3.2453210800608487
(B ((B ((B ((((((B SSS) BCB) *) I) I) I)) (+ 2))) (+ 2))), nan, nan, -4.904875007052039, -4.86121988171273, -4.824344041773899, -4.824028451403908, -4.824028451403908, -4.824028451403908, -4.824028451403908
(B (((((B SSS) BCB) *) I) *)), -4.805239931554615, nan, nan, nan, nan, nan, nan, nan, nan
(((BCB +) *) 2), -5.5125717471065165, -4.864799355534905, -4.958942228322314, -5.205254890715642, -5.1700133718760295, -5.169697781506039, -5.169697781506039, -5.169697781506039, -5.169697781506039
(((BCB +) *) 0), -5.031159471753685, -4.413959458438407, -4.4593342474267414, -4.55347712021415, -4.512107710155697, -4.476866191316084, -4.476550600946093, -4.476550600946093, -4.476550600946093, -4.476550600946093
((B BCB) I), -4.743477399301903, nan, nan, nan, nan, nan, nan, nan, nan, nan
((B (((BCB +) *) 0)) (+ 2)), -5.107106638998353, -4.6416558042206955, -4.958942228322314, -4.917572818263861, -5.1700133718760295, -5.575162889614203, -5.575162889614203, -5.575162889614203, -5.575162889614203
((BCB +) *), -3.7859437088936985, -4.11209275099467, -4.199823051941656, -4.341780954740291, -4.238031289759695, -4.174999483872347, -4.145696356629104, -4.145696356629104, -4.145696356629104, -4.145696356629104
(B ((((((B SSS) BCB) *) I) *) 2)), -5.454584489456167, -5.499106036071916, -5.598022187611984, -5.554367062272675, -5.517491222333844, -5.517175631963854, -5.517175631963854, -5.517175631963854, -5.517175631963854
((B ((((((B SSS) BCB) *) I) I) I)) (+ 2)), -4.628616395875298, -3.612036387039537, -3.5801385389315814, -3.5640051506465276, -3.571581073278531, -3.5712654829085406, -3.571265482908541, -3.5712654829085406, -3.571265482908541
((((B SSS) BCB) *) ((((B SSS) BCB) +) I)), -5.011091985758764, nan, nan, nan, nan, nan, nan, nan, nan
((((B SSS) BCB) +) ((((B SSS) BCB) *) I)), -4.6056268776506, -4.6416558042206955, -4.7660385621978225, -5.081460673368977, -4.976360249072525, -4.950069172299274, -4.950069172299274, -4.950069172299274, -4.950069172299274
(B SSS), -3.886027167450681, -3.3293334117450373, -2.695745655165382, -2.7076504297158195, -2.706554918795306, -2.699092964062769, -2.6987773736927787, -2.698777373692779, -2.6987773736927787, -2.698777373692779
2, -3.0, -2.454292427999087, -2.5517713449915407, -2.6494928603449264, -2.6982502198404776, -2.659811021860145, -2.715559723635874, -2.6729085941505946, -2.7152593697240084, -2.6729085941505946, -2.7152593697240084
1, -3.0, -3.269425718068498, -2.936947946870108, -2.9097571070634154, -2.863604628677187, -2.919929323750464, -2.8545679347960213, -2.905260087116889, -2.8542698531709196, -2.905260087116889, -2.8542698531709196
0, -3.0, -3.5294871567179786, -3.822084914330904, -3.942837745612798, -3.985358404456743, -3.95185812397479, -3.8937195388979506, -3.8934534433501105, -3.893453443350111, -3.8934534433501105, -3.893453443350111
+, -3.0, -2.7810062013739607, -3.2310381965185893, -3.566184557376517, -3.7190886120458937, -3.7585981389471916, -3.810219213322857, -3.8099491526935116, -3.8099491526935116, -3.8099491526935116, -3.8099491526935116
*, -3.0, -3.0176988060144305, -3.7561484882390936, -3.795198021244155, -3.7941965484300635, -3.7585981389471916, -3.810219213322857, -3.8099491526935116, -3.8099491526935116, -3.8099491526935116, -3.8099491526935116
I, -4.0, -4.148528474022241, -4.486984716009877, -4.716176358563902, -4.816337541813818, -4.782422862692214, -4.9169321568699695, -4.912393178567843, -4.912393178567844, -4.912393178567843, -4.912393178567844
B, -3.0, -3.649562719957274, -3.114864224142413, -3.1903057176513654, -3.243418714899733, -3.185749152367259, -3.1181489788280703, -3.1019862321018756, -3.1019862321018756, -3.1019862321018756, -3.1019862321018756
(((B (((BCB +) *) 0)) (+ 2)) 2), -5.0340815039834625, -5.316784479277962, -5.526048687986894, -5.509915299701841, -5.517491222333844, -5.517175631963854, -5.517175631963854, -5.517175631963854, -5.517175631963854
((((BCB +) *) 0) 1), -3.8119191952969596, -5.0340815039834625, -5.316784479277962, -4.832901507426949, -5.509915299701841, -5.11202611422568, -5.111710523855689, -5.111710523855689, -5.111710523855689, -5.111710523855689
(B ((((((B SSS) BCB) *) I) I) I)), -5.049119381348003, -4.805958855511971, -4.904875007052039, -4.86121988171273, -4.824344041773899, -4.824028451403908, -4.824028451403908, -4.824028451403908, -4.824028451403908
(((((B SSS) BCB) *) I) ((B *) (+ 2))), nan, nan, -5.65208940888226, -5.610719998823806, -5.575478479984194, -5.575162889614203, -5.575162889614203, -5.575162889614203, -5.575162889614203
((B SSS) BCB), -4.0503302187419585, -3.6477871428635726, -3.2553614431008047, -3.267266217651242, -3.266170706730729, -3.2587087519981917, -3.2583931616282014, -3.258393161628202, -3.2583931616282014, -3.258393161628202
(* 0), -3.8119191952969596, nan, nan, nan, nan, nan, nan, nan, nan, nan
((B ((((((B SSS) BCB) *) I) I) I)) ((B ((((((B SSS) BCB) *) I) I) I)) (+ 2))), nan, nan, -5.526048687986894, -5.509915299701841, -5.517491222333844, -5.517175631963854, -5.517175631963854, -5.517175631963854, -5.517175631963854
(+ 2), -3.8119191952969596, -2.8368569266472434, -3.1195599019417433, -3.3288241106506753, -3.2586235010953457, -3.2661994237273495, -3.265883833357359, -3.265883833357359, -3.265883833357359, -3.265883833357359
((B ((((((B SSS) BCB) *) I) *) 2)) (+ 2)), -4.628616395875298, -4.623637298718017, -5.12058357987873, -5.104450191593676, -5.11202611422568, -5.111710523855689, -5.111710523855689, -5.111710523855689, -5.111710523855689
(((((B SSS) BCB) +) ((((B SSS) BCB) *) I)) I), -5.454584489456167, -5.499106036071916, -5.598022187611984, -5.554367062272675, -5.517491222333844, -5.517175631963854, -5.517175631963854, -5.517175631963854, -5.517175631963854
((B (((BCB +) *) 0)) ((B ((((((B SSS) BCB) *) I) I) I)) (+ 2))), -5.557946536094851, -5.65208940888226, -5.610719998823806, -5.575478479984194, -5.575162889614203, -5.575162889614203, -5.575162889614203, -5.575162889614203
BCB, -3.0, -3.3910261598810183, -3.5320903582537726, -3.175770997106087, -3.1867599673849374, -3.185749152367259, -3.1788618222425686, -3.1785704474883505, -3.178570447488351, -3.1785704474883505, -3.178570447488351
(((B BCB) I) +), -3.8119191952969596, nan, nan, nan, nan, nan, nan, nan, nan, nan
((B ((B ((B ((((((B SSS) BCB) *) I) I) I)) (+ 2))) (+ 2))) ((B ((((((B SSS) BCB) *) I) I) I)) (+ 2))), nan, nan, -5.526048687986894, -5.509915299701841, -5.517491222333844, -5.517175631963854, -5.517175631963854, -5.517175631963854, -5.517175631963854
(B B), -5.053632327605743, -5.056554359835522, nan, nan, nan, nan, nan, nan, nan, nan
(B *), -4.805239931554615, -4.892970232501601, -5.034928135300237, -4.931178470319639, -4.868146664432292, -4.8388435371890495, -4.8388435371890495, -4.8388435371890495, -4.8388435371890495
(B +), -4.805239931554615, nan, nan, nan, nan, nan, nan, nan, nan
SSS, -3.0, -4.430937409013322, -4.121549163429508, -3.7951980212441545, -3.8054020245174556, -3.804463749234149, -3.7980688708048724, -3.797798260308443, -3.7977982603084435, -3.797798260308443, -3.7977982603084435
((((B BCB) I) +) *), -4.1914088170018635, nan, nan, nan, nan, nan, nan, nan, nan, nan
((((((B SSS) BCB) *) I) I) I), -3.8119191952969596, -4.340934323423518, -4.218172190609853, -4.609757956112739, -4.4113030110337315, -4.601200490459689, -4.418563343295744, -4.6008849000896985, -4.418563343295744, -4.6008849000896985
(((((B B) B) +) +) 2), -5.031159471753685, -5.5125717471065165, nan, nan, nan, nan, nan, nan, nan, nan
((((B B) B) +) +), -4.1914088170018635, -4.805239931554615, nan, nan, nan, nan, nan, nan, nan, nan
(B ((B ((((((B SSS) BCB) *) I) *) 2)) (+ 2))), -5.499106036071916, -5.598022187611984, -5.554367062272675, -5.517491222333844, -5.517175631963854, -5.517175631963854, -5.517175631963854, -5.517175631963854
(B (+ 2)), -5.454584489456167, -5.499106036071916, -4.904875007052039, -5.1489019541645105, -4.824344041773899, -4.824028451403908, -4.824028451403908, -4.824028451403908, -4.824028451403908
(((B B) B) +), -3.8119191952969596, -4.385386085994352, nan, nan, nan, nan, nan, nan, nan, nan
(B BCB), -3.886027167450681, nan, nan, nan, nan, nan, nan, nan, nan, nan
((B (((((B SSS) BCB) *) I) *)) (+ 2)), -5.5125717471065165, nan, nan, nan, nan, nan, nan, nan, nan
((B B) B), -4.648167219497578, -5.056554359835522, nan, nan, nan, nan, nan, nan, nan, nan
